"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.907870647730306 0.465336646186188 0.0130206057801843 0.712486058473587 0.717419391265139 0.70783603307791 0.68405119352974 0.702612502034754 0.776892544468865 0.725298633798957
"2" 0.298569268779829 0.883902223780751 0.138375338865444 0.964879281818867 0.383021755144 0.0133671555668116 0.897990295197815 0.539363585878164 0.387585871620104 0.50126009946689
"3" 0.301576585741714 0.494394594570622 0.230576433008537 0.385674018645659 0.00686685927212238 0.453209936618805 0.494127420242876 0.79324617004022 0.610461439937353 0.809079698286951
"4" 0.11074996413663 0.468428013380617 0.545549979666248 0.83874274767004 0.0228801916819066 0.690136718098074 0.267345421714708 0.2506998621393 0.45976179651916 0.912461669417098
"5" 0.888170526130125 0.602348931599408 0.226478031137958 0.786378743126988 0.151564026251435 0.096009275643155 0.964655454969034 0.236035974463448 0.561475436668843 0.626239102566615
"6" 0.386268230853602 0.197149669751525 0.280526351649314 0.637235056608915 0.629041828215122 0.633804794866592 0.369417521636933 0.273480530362576 0.37810861133039 0.0194632457569242
"7" 0.975065373349935 0.611178877064958 0.988449077820405 0.941571639385074 0.415280056418851 0.500379817094654 0.994352704146877 0.586979908403009 0.13364085718058 0.720091378549114
"8" 0.0194820459000766 0.429061944130808 0.778379425406456 0.0775710886809975 0.129566733725369 0.0706128438469023 0.557432245230302 0.884876571828499 0.98126230109483 0.758574917213991
"9" 0.689871435053647 0.103761810110882 0.402811869746074 0.0500325134489685 0.371963585028425 0.842953338520601 0.312943363096565 0.0146701403427869 0.796234236564487 0.942003449425101
"10" 0.0208510251250118 0.500922708772123 0.418233337346464 0.320264117326587 0.352355839684606 0.167084543732926 0.310162271372974 0.608833392383531 0.673100800951943 0.646155893336982
"11" 0.0564178507775068 0.304361889604479 0.725386594654992 0.779303561197594 0.35796105209738 0.962300447514281 0.20914662652649 0.484432980185375 0.511795190628618 0.0864380390848964
"12" 0.989517410751432 0.0849420977756381 0.789137014187872 0.511260863393545 0.445796960731968 0.619707450037822 0.676668024854735 0.746899348916486 0.0885658063925803 0.817699893144891
"13" 0.311832149978727 0.365287077613175 0.671123962616548 0.670715464977548 0.356931092450395 0.79792823176831 0.0349197208415717 0.568467555567622 0.721179788233712 0.837526615010574
"14" 0.305625073378906 0.662471256684512 0.933324849000201 0.625998406438157 0.591889027273282 0.207406916422769 0.77717081294395 0.955613808706403 0.204489864176139 0.65883840736933
"15" 0.543264324078336 0.172218301333487 0.469933206448331 0.651078142924234 0.593356537632644 0.510940119856969 0.526736787520349 0.0933928801678121 0.705314277205616 0.590542391641065
